"","text"
"4285","rt    enable real jihad     portraying presidenttrump   isis savage     deranged leftist "
"4286","rt    jr faved  tweet    sr    political boost  quebec killer  muslim "
"4287","via  yes   happened    weeks  president "
"4288","rt   commemorate black history month  administration decrees  white supremacists cant  terrorists "
"4289","  surly    administration gained   support  mek btw    terror cult   close  wh"
"4290","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"4291"," mattis    day review  warplan vs isil islamicstate   "
"4292","    believe pres    shut   amp    break   enclaves  muslims live "
"4293"," look im  berating   supporting  im   feel hes     heart   disagree"
"4294","rt  russia hacks election       weeks   presidency  lifts sanctions  russias fsb  worse  watergate"
"4295","distrumpia cnn wonder     tweeting  boycott bud"
"4296","rt      quietly stall  loud demand    expose  hes deliberately misled  public   "
"4297","rt    forward   mixed nuclear message  james doyle "
"4298","     lost    america  voted    black    muslim name shell  win"
"4299","rt     fascist    champion   forgotten millions  john daniel davidson "
"4300","uber ceo quits  advisory board amid criticism    charles myr "
"4301","rt  takeaway        wrong   engaging  mass killing     likes   views   acceptable preferable"
"4302","rt  usa responding  bill oreilly saying putin   killer      lot  killers    country   innocent"
"4303","rt   tweets   malevolent  excruciatingly dumb  comes  sounding lie  pro wrestling bad guy  "
"4304","rt    protecting lgbtq cmty ban list  countries call  mass murder  gays ufefudstonewallrally stonewall "
"4305","rt   defends putin    countrys  innocent "
"4306","mashable alec baldwins     snl prepare    war "
"4307","distrumpia please follow   facebook       illegitimate president    "
"4308","rt  wikileaks   altright fascist loving spies  putintrump  fight  destroy democracy renounce  aband "
"4309","   havent noticed  threats  war  international tension caused   please  vote"
"4310","rt   attacks john lewis   speech   milos speech protected hes   favorites  white fascist supremacists"
"4311","rt  america thru  eyes   terrible    country  killers thats constantly getting  advantage  amp  constantly losing"
"4312","rt  fox aired interview excerpt  oreilly putin   killer       lot  killers    countrys  innocent"
"4313","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"4314","thousands march  london demanding  british government withdraw invitation   via  "
"4315","rt   story isnt   denounced  judge  story    republicans denounced    "
"4316","rt  exhibit  bought  statue  columbus  russialarger  statue  liberty dworkinreport "
"4317","rt    child  brainwashed  liberal teachers   katieonlbc "
"4318","protesters   voice concern   policies "
"4319","   disgraceful abuse  les pantaloon rouge    protest  london yesterday "
"4320","rt  kristen stewart taking      homophobes       saved  play    funeral "
"4321","hitler bowed germany  empowerment laws  burning books  usa  decrees   deletions "
"4322","     youre putting words   mouth    policies   blame  "
"4323","probably  sent    ban    "
"4324","rt  bizarre readout  trumpporoshenko call   conflict   border dispute  russia  ukraine "
"4325","rt    loyalty   lawabiding citizens  "
"4326","rt    illegitimate  mentally incompetent  serve  socalledpresident "
"4327","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"4328","rt     receive reports   profit  loss   company    "
"4329","rt   antitrump protests   chaos  fakenews biz     violent clickbait hamsters    top  wins "
"4330","rt   dailyshows    silver lining  president  muslim ban "
"4331","mashable alec baldwins     snl prepare    war "
"4332","rt  shoutout     fans       youre vs      suddenly constitutional law scholars"
"4333","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"4334","rt    sink intrumps defense  journalists  killed  russia      plenty  killing  "
"4335","rt  wouldnt      gaga starts    anti  rhetoric  crowd drowns    boooos  ret "
"4336","rt     fascist    champion   forgotten millions  john daniel davidson "
"4337","rt     day itll cost  nation    melania    york city    "
"4338","rt   era brings role reversal  political parties "
"4339","rt  poll   support  closing mosques  terrorist ties  "
"4340","rt   administrations request  immediate administrative stay denied muslimban "
"4341","rt   wonder   putin   person   world     criticized     investigate "
"4342","uber ceo quits  advisory board amid criticism    charles myr "
"4343","rt   foreign entanglements   grave concern  warrant investigation  dworkinreport "
"4344"," appeals court rejects  administration request  immediately reinstate   bbcbreaking via "
"4345","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"4346","rt  breaking appeals court rejects  administrations request  restore travel ban  "
"4347","leader  al qaeda  yemen mocks   raid "
"4348","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"4349","rt   hate  fear refugees  welcome  chants   muslimbanprotest marching  piccadilly "
"4350","rt   majority saying  visit   cancelled    larger  brexit  referendum democracy"
"4351","   voted  commited treason            investigation"
"4352","uber ceo quits  advisory board amid criticism    charles myr "
"4353","rt  swedish politicians troll  administration  signing climate change law   "
"4354","rt   cabinet pick paid  cultlike iranian exile     "
"4355","rt   suffers  loss  federal appeals court rejects request  immediately restore  muslimban "
"4356","rt  crowdfunding  publicinterest lawsuits        time   presidency "
"4357","rt   somali refugees  resettlement    stopped  president  executive  sent   camp "
"4358","rt   cabinet pick paid  cultlike iranian exile     "
"4359","rt  tens  thousands join marches  uk   travel ban stopthebannontrumpregime  "
"4360","rt     respect putin oreilly  hes  killer  weve   lot  killers      countrys  innocent"
"4361","rt      mean   american people sending  message louder   "
"4362","rt         tried  delegitimize  press scientists  intel community election results  judiciary branch"
"4363","rt  takeaway        wrong   engaging  mass killing     likes   views   acceptable preferable"
"4364","    hour deadline  respond  amp apos muslim banamp apos ruling  "
"4365","rt  chockfullofalternatefacts  tongue  cheek look   amp  company  "
"4366","rt  people  canceling tesla   elon musk  advising  resistance  via "
"4367","rt   lie  kuwait denies  imposed travel ban praised   "
"4368"," patriot jon voight  exploded  miley cyrus   name     via  patriots"
"4369","rt   people  libdem mp norman lambs constituency  north norfolk   signed  petition supporting  visit"
"4370","rt  court rejects  bid  immediately restore travel ban "
"4371","rt  kristen stewart taking      homophobes       saved  play    funeral "
"4372","uber ceo quits  advisory board amid criticism    charles myr "
"4373","rt  milo  judge jeanine    withdraw funding  berkeley  "
"4374","visit lauriston  mosque edinburgh  visitmymosque     muslim ban "
"4375","  hoping     day    pence   quiet  fat chance  drama queens"
"4376","   melania   lady office  virtually empty  via "
"4377","kristen stewart mocks  obsession    snl  president tweeted   eleven times  "
"4378","rt       president  people    started  care    president   recognize  faults"
"4379","rt  president  quickly condemns  louvre attack    quiet  quebec  "
"4380","rt  mike huckabee   trumpsome people wear christianity    reason  wear cubic zirconiaits   appearance"
"4381","rt  theres     billion chance    killed   refugee   supporters "
"4382","rt  horrific       fealty  russia  putin   dworkinreport trumpleaks "
"4383","rt    junior   business whiz theresistance protesttrump  "
"4384","rt    america va america pick   "
"4385","rt   protest  west palm beach   marching     maralago   pres  staying  wknd "
"4386","rt  kristen stewart taking      homophobes       saved  play    funeral "
"4387","rt     ignoring  quebec attack committed   white supremacist "
"4388","rt  yemen video traitor  admin   worth dead navy seal        available online  "
"4389","uber ceo quits  advisory board amid criticism    charles myr "
"4390","rt    normal cycle russian propaganda repeating  repeating russian propaganda "
"4391","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"4392","rt   americas  christian   gift  prophesy  judgment day     tantrum  ridiculo "
"4393","rt     receive reports   profit  loss   company    "
"4394"," appeals court rejects  administration request  immediately reinstate   bbcbreaking via "
"4395","rt    wouldnt     invitation   pocket   return visit    twip "
"4396","rt    america va america pick   "
